society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
huda housing board colony,4.6,sector 31,31506.0,1460.0,Plot area 1460(135.64 sq.m.),6,4,3+,3,East,Old Property,house,,1460.0,,0,0,0,0,1,0,8
adani m2k oyster grande,1.9,sector 102,14074.0,1350.01,Super Built up area 1889(175.49 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,4,3,21,,Relatively New,flat,1889.0,,1350.0,0,1,0,0,0,0,60
dlf the skycourt,1.59,sector 86,8242.0,1929.14,Super Built up area 1929(179.21 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1548 sq.ft. (143.81 sq.m.),3,3,3,17,East,Relatively New,flat,1929.0,1700.0,1548.0,0,0,0,0,1,2,165
ss the leaf,2.13,sector 85,7574.0,2812.25,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,6,North,Relatively New,flat,2812.0,2600.0,2400.0,0,0,0,0,0,0,49
vipul lavanya,0.6,sector 81,6666.0,900.09,Super Built up area 900(83.61 sq.m.),2,2,1,0,,Under Construction,flat,900.0,,,0,0,0,0,0,0,0
mvn athens,0.26,sohna road,5397.0,481.75,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5,,Relatively New,flat,,,481.684525,0,0,0,0,0,0,95
shapoorji pallonji joyville gurugram,1.95,sector 102,13928.0,1400.06,Super Built up area 1852(172.06 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,6,North-East,New Property,flat,1852.0,,1400.0,0,0,0,1,0,2,174
parsvnath exotica,5.0,sector 53,17271.0,2895.03,Super Built up area 2895(268.95 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3+,8,North-East,Relatively New,flat,2895.0,2500.0,2200.0,0,1,0,1,1,2,49
dlf regency park,1.35,sector 28,11992.0,1125.75,Built Up area: 1109 (103.03 sq.m.),2,2,2,1,,Moderately Old,flat,,1109.0,,0,0,0,0,0,0,0
independent,4.25,sector 10a,17955.0,2367.0,Built Up area: 2367 (219.9 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,2,1,North-East,Undefined,house,,2367.0,1800.0,0,0,0,0,0,0,0
experion windchants,3.75,sector 112,13383.0,2802.06,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,21,West,Relatively New,flat,2802.0,2225.56,,0,1,0,0,0,2,159
ild greens,0.95,sector 37c,9223.0,1030.03,Super Built up area 1340(124.49 sq.m.)Carpet area: 1030 sq.ft. (95.69 sq.m.),2,2,3+,11,South-West,Relatively New,flat,1340.0,,1030.0,0,0,1,1,0,2,119
avl 36 gurgaon,0.5,sector 36a,8333.0,600.02,Built Up area: 600 (55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),1,1,1,5,,Undefined,flat,,600.0,500.0,0,0,0,0,0,0,0
adani brahma samsara vilasa,3.35,sector 63,16470.0,2034.0,Super Built up area 2034(188.96 sq.m.),3,3,3+,3,,New Property,flat,2034.0,,,0,0,0,0,0,2,16
m3m skywalk,1.5,sector 74,10714.0,1400.04,Carpet area: 1400 (130.06 sq.m.),2,2,1,8,,New Property,flat,,,1400.0,0,0,0,0,0,0,16
ambience creacions,3.2,sector 22,11500.0,2782.61,Super Built up area 2781(258.36 sq.m.),3,4,3+,2,North-East,New Property,flat,2781.0,,,0,0,0,0,0,0,42
tulip violet,1.66,sector 69,8408.0,1974.31,Super Built up area 1970(183.02 sq.m.),4,4,1,12,South-East,Relatively New,flat,1970.0,,,0,0,0,1,0,0,102
mrg skyline,1.82,sector 106,13392.0,1359.02,Built Up area: 1359 (126.26 sq.m.)Carpet area: 952 sq.ft. (88.44 sq.m.),3,2,2,4,East,Undefined,flat,,1359.0,952.0,0,0,0,0,0,0,0
independent,3.55,sector 46,24500.0,1449.0,Plot area 161(134.62 sq.m.),5,4,3+,3,North-West,Moderately Old,house,,1449.0,,0,1,0,0,0,2,73
independent,1.35,sector 11,3857.0,3500.0,Plot area 3500(325.16 sq.m.),10,6,3+,3,,Old Property,house,,3500.0,,0,0,0,0,0,0,0
vatika city,2.64,sector 49,11725.0,2251.6,Super Built up area 2251.42(209.16 sq.m.)Built Up area: 1750.75 sq.ft. (162.65 sq.m.),3,4,3+,2,East,Moderately Old,flat,2251.42,1750.75,,0,1,0,1,0,2,140
emaar mgf palm hills,1.65,sector 77,8461.0,1950.12,Super Built up area 1950(181.16 sq.m.),4,3,3,9,South,Relatively New,flat,1950.0,,,0,1,0,0,0,0,100
puri diplomatic greens,3.65,sector 111,12372.0,2950.21,Super Built up area 2950(274.06 sq.m.),4,5,3+,17,West,Moderately Old,flat,2950.0,,,0,1,0,0,0,2,132
godrej aria,1.45,sector 79,9062.0,1600.09,Super Built up area 1495(138.89 sq.m.)Built Up area: 1494 sq.ft. (138.8 sq.m.),2,2,3+,9,East,Relatively New,flat,1495.0,1494.0,,1,0,0,0,0,0,113
m3m capital,2.9,sector 113,12619.0,2298.12,Carpet area: 2298 (213.49 sq.m.),4,4,3+,11,North,Under Construction,flat,,,2298.0,1,1,0,0,0,0,49
bestech altura,1.85,sector 79,8604.0,2150.16,Super Built up area 2150(199.74 sq.m.),3,4,3+,11,North,New Property,flat,2150.0,,,0,1,0,0,0,0,49
la vida by tata housing,3.35,sector 113,16750.0,2000.0,Super Built up area 2691(250 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,12,North-East,New Property,flat,2691.0,2200.0,2000.0,1,1,0,0,0,0,174
emaar mgf marbella,15.1,sector 66,18605.0,8116.0,Plot area 754,5,5,3+,3,East,New Property,house,,8067.799999999999,,1,1,1,1,0,0,120
mapsko mount ville,1.2,sector 79,13837.0,867.24,Super Built up area 1510(140.28 sq.m.)Carpet area: 867.24 sq.ft. (80.57 sq.m.),3,3,3,18,North,Relatively New,flat,1510.0,,867.24,1,0,0,1,0,2,160
breez global heights,0.39,sohna road,4105.0,950.06,Super Built up area 950(88.26 sq.m.)Built Up area: 720 sq.ft. (66.89 sq.m.)Carpet area: 610 sq.ft. (56.67 sq.m.),2,2,2,3,,Relatively New,flat,950.0,720.0,610.0,0,0,0,0,0,0,0
ild greens,1.05,sector 37c,7500.0,1400.0,Super Built up area 1875(174.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,4,,New Property,flat,1875.0,1500.0,1400.0,0,0,0,0,0,2,5
vatika xpressions,1.1,sector 88b,8148.0,1350.02,Built Up area: 1350 (125.42 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,4,3+,2,North-East,Under Construction,flat,,1350.0,1050.0,1,0,0,0,0,0,58
ireo skyon,2.82,sector 60,12818.0,2200.03,Super Built up area 2403(223.25 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,3,2,South-East,Relatively New,flat,2403.0,2400.0,2200.0,0,1,0,0,0,2,174
experion windchants,5.31,sector 112,11204.0,4739.38,Super Built up area 4739(440.27 sq.m.)Built Up area: 3573.33 sq.ft. (331.97 sq.m.)Carpet area: 3400 sq.ft. (315.87 sq.m.),4,6,3+,15,South,Relatively New,flat,4739.0,3573.33,3400.0,0,1,0,1,0,0,72
gls avenue 51,0.45,sector 92,6000.0,750.0,Carpet area: 750 (69.68 sq.m.),3,3,1,10,North-East,Relatively New,flat,,,750.0,0,0,0,0,0,0,0
smart world orchard,2.2,sector 61,13496.0,1630.11,Carpet area: 1630 (151.43 sq.m.),3,3,2,3,,Under Construction,flat,,,1630.0,0,0,0,0,0,0,16
puri emerald bay,2.23,sector 104,9911.0,2250.03,Super Built up area 2450(227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,10,East,Relatively New,flat,2450.0,,2250.0,0,1,0,0,0,2,159
central park flower valley cerise floors,1.3,sector 33,10743.0,1210.09,Super Built up area 1210(112.41 sq.m.),2,2,2,3,North,New Property,flat,1210.0,,,1,0,0,0,0,0,22
shapoorji pallonji joyville gurugram,1.24,sector 102,10205.0,1215.09,Super Built up area 1215(112.88 sq.m.),2,2,2,10,East,Relatively New,flat,1215.0,,,0,0,0,0,0,0,141
dlf the ultima,2.4,sector 81,11412.0,2103.05,Super Built up area 2103(195.38 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),3,3,3+,12,North-East,Relatively New,flat,2103.0,1650.0,1257.0,0,1,0,0,0,1,49
tulip violet,3.25,sector 69,10105.0,3216.23,Super Built up area 3216(298.78 sq.m.),4,5,3+,14,,Relatively New,flat,3216.0,,,0,0,0,1,1,0,20
green court,0.47,sector 90,6811.0,690.06,Carpet area: 690 (64.1 sq.m.),2,2,1,0,East,New Property,flat,,,690.0,0,0,0,0,0,0,49
independent,5.0,sector 23,16244.0,3078.0,Plot area 342(285.96 sq.m.),4,4,2,2,East,Old Property,house,,3078.0,,0,0,0,0,0,0,7
orchid petals,1.9,sector 49,10526.0,1805.05,Carpet area: 1805 (167.69 sq.m.),3,3,3,9,North-West,Moderately Old,flat,,,1805.0,0,1,0,0,0,2,95
signature global city 92,0.78,sector 92,11142.0,700.05,Super Built up area 1010(93.83 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,3,2,,Under Construction,flat,1010.0,,700.0,0,0,0,0,1,0,24
puri emerald bay,1.32,sector 104,8516.0,1550.02,Super Built up area 1550(144 sq.m.),2,2,2,10,North-East,Relatively New,flat,1550.0,,,0,0,0,0,0,0,128
adani aangan arcade,0.45,sector 88a,7194.0,625.52,Carpet area: 625.47 (58.11 sq.m.),2,2,1,8,,New Property,flat,,,625.490229,0,0,0,0,0,0,14
ss the leaf,2.1,sector 85,7467.0,2812.37,Super Built up area 2812(261.24 sq.m.),4,5,3+,9,East,Relatively New,flat,2812.0,,,0,0,0,0,0,2,67
huda ashok vihar phase,0.7,sector 4,10233.0,684.0,Plot area 684(63.55 sq.m.),3,2,1,2,North-East,New Property,house,,684.0,,1,0,0,0,0,0,7
parsvnath exotica,4.8,sector 53,14680.0,3269.75,Built Up area: 2895 (268.95 sq.m.),3,4,3+,12,North-West,New Property,flat,,2895.0,,0,0,0,0,0,0,69
shree vardhman victoria,1.07,sector 70,7925.0,1350.16,Super Built up area 1350(125.42 sq.m.),2,2,3,8,North,Relatively New,flat,1350.0,,,1,0,0,0,0,0,108
godrej aria,1.1,sector 79,11482.0,958.02,Super Built up area 89,2,2,3,9,,New Property,flat,89.0,,,0,0,0,0,0,0,62
ansal heights,0.72,sector 92,4500.0,1600.0,Super Built up area 1935(179.77 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9,South-West,Relatively New,flat,1935.0,1700.0,1600.0,0,1,0,0,0,0,49
emaar gurgaon greens,1.39,sector 102,8424.0,1650.05,Super Built up area 1650(153.29 sq.m.),3,3,3,7,West,Relatively New,flat,1650.0,,,0,1,0,0,0,2,21
tulip violet,1.3,sector 69,8283.0,1569.48,Super Built up area 1568(145.67 sq.m.),3,3,1,12,South-West,Relatively New,flat,1568.0,,,0,0,0,1,0,0,86
ramsons kshitij,0.35,sector 95,5495.0,636.94,Built Up area: 637 (59.18 sq.m.),2,2,0,5,,Undefined,flat,,637.0,,0,0,0,0,0,0,0
experion windchants,3.0,sector 112,11538.0,2600.1,Super Built up area 2802(260.31 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,3,2,2,North,Relatively New,flat,2802.0,2600.0,2200.0,0,0,0,0,1,2,49
sbtl caladium,1.68,sector 109,6601.0,2545.07,Super Built up area 2545(236.44 sq.m.),3,3,3+,7,East,Moderately Old,flat,2545.0,,,0,1,0,0,0,0,134
ramprastha the edge towers,0.8,sector 37d,5797.0,1380.02,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2,North-East,Relatively New,flat,1380.0,1300.0,1200.0,0,0,0,0,0,0,78
ireo the corridors,1.5,sector 67a,11111.0,1350.01,Carpet area: 1350 (125.42 sq.m.),2,2,2,10,,Relatively New,flat,,,1350.0,0,0,1,0,0,2,38
shree vardhman flora,0.9,sector 90,4615.0,1950.16,Super Built up area 1950(181.16 sq.m.),3,4,3,4,East,Relatively New,flat,1950.0,,,0,1,0,0,0,0,165
ats triumph,2.63,sector 104,9563.0,2750.18,Super Built up area 3150(292.64 sq.m.)Carpet area: 2750 sq.ft. (255.48 sq.m.),4,4,3+,21,North,Relatively New,flat,3150.0,,2750.0,0,1,0,0,0,2,161
tulip violet,1.65,sector 69,8872.0,1859.78,Built Up area: 1578 (146.6 sq.m.),3,3,2,1,,Relatively New,flat,,1578.0,,0,0,0,0,0,2,69
suncity avenue 76,0.75,sector 76,10067.0,745.0,Plot area 745(69.21 sq.m.)Built Up area: 745 sq.ft. (69.21 sq.m.),2,2,2,11,North-East,New Property,house,,745.0,,0,0,0,0,0,0,40
bestech park view sanskruti,1.6,sector 92,7547.0,2120.05,Super Built up area 2120(196.95 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3,10,East,Relatively New,flat,2120.0,,1450.0,0,1,0,0,0,2,60
green campus chs,0.9,manesar,3935.0,2287.17,Super Built up area 2287(212.47 sq.m.),3,3,3+,6,North-East,Moderately Old,flat,2287.0,,,0,1,0,0,0,0,5
dlf park place,6.75,sector 54,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8,North,Moderately Old,flat,2704.0,,1534.0,0,1,0,0,0,1,135
independent,3.5,sector 5,14787.0,2367.0,Plot area 263(219.9 sq.m.),5,4,2,2,North,Old Property,house,,2367.0,,0,0,0,1,1,0,36
vatika gurgaon,0.98,sector 83,8166.0,1200.1,Super Built up area 1445(134.24 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,5,South,Relatively New,flat,1445.0,1300.0,1200.0,0,0,0,0,0,2,96
suncity avenue 76,0.75,sector 76,10204.0,735.01,Super Built up area 735(68.28 sq.m.),2,2,2,11,,Under Construction,flat,735.0,,,0,0,0,0,0,0,57
ansal api celebrity suites,0.6,sector 2,8163.0,735.02,Super Built up area 735(68.28 sq.m.),1,1,1,5,North-East,Moderately Old,flat,735.0,,,0,0,0,0,0,2,67
tulip lemon,0.62,sector 69,12863.0,482.0,Carpet area: 482 (44.78 sq.m.),2,2,1,4,North-East,Relatively New,flat,,,482.0,0,0,0,0,0,2,108
guru gram haryana cghs,1.39,sector 56,7227.0,1923.34,Super Built up area 1920(178.37 sq.m.),3,3,3,4,North,Moderately Old,flat,1920.0,,,1,0,0,0,0,2,134
emaar mgf marbella,12.0,sector 66,37037.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3+,3,East,Relatively New,house,,3240.0,,1,1,1,1,0,2,160
dlf regal gardens,1.25,sector 90,6459.0,1935.28,Super Built up area 1703(158.21 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,10,South,Relatively New,flat,1703.0,1650.0,1600.0,0,0,0,0,1,2,38
independent,7.5,sector 82,23148.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3+,2,East,Relatively New,house,,3240.0,,0,1,0,1,0,2,135
signature global synera,0.5,sector 81,6802.0,735.08,Super Built up area 735(68.28 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2,2,3,6,South,Relatively New,flat,735.0,700.0,635.0,0,0,0,0,0,0,117
bptp astaire gardens,0.97,sector 70a,6587.0,1472.6,Super Built up area 1480(137.5 sq.m.),3,3,3+,1,West,Relatively New,flat,1480.0,,,0,0,0,0,1,0,149
smart world gems,0.88,sector 89,7978.0,1103.03,Built Up area: 1103 (102.47 sq.m.),2,2,0,2,,Undefined,flat,,1103.0,,0,0,0,0,0,0,45
unitech uniworld resorts,,sector 33,,,Plot area 520(434.79 sq.m.),5,8,3+,4,West,Relatively New,house,,520.0,,0,1,1,0,0,2,100
experion windchants,9.5,sector 112,23457.0,4050.0,Plot area 450(376.26 sq.m.)Built Up area: 7450 sq.yards (6229.15 sq.m.),5,5,3,2,,Relatively New,house,,7450.0,,0,1,0,0,0,0,45
dlf the grove,5.7,sector 54,41245.0,1381.99,Built Up area: 1382 (128.39 sq.m.),3,3,3,1,East,Undefined,flat,,1382.0,,0,0,0,0,0,0,46
parsvnath green ville,1.5,sector 48,8787.0,1707.07,Super Built up area 1707(158.59 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,1,North,Old Property,flat,1707.0,1600.0,1400.0,0,0,0,0,0,2,128
m3m skycity,2.1,sector 65,16030.0,1310.04,Super Built up area 1310(121.7 sq.m.),2,2,2,43,,New Property,flat,1310.0,,,0,0,0,0,0,0,127
signature global solera,0.36,sector 107,6581.0,547.03,Carpet area: 547 (50.82 sq.m.),2,2,2,8,South-East,Relatively New,flat,,,547.0,0,0,0,0,0,0,45
tarc maceo,0.95,sector 91,5954.0,1595.57,Super Built up area 1310(121.7 sq.m.),2,2,2,10,East,Relatively New,flat,1310.0,,,0,0,0,0,0,0,77
godrej,0.95,sector 33,6859.0,1385.04,Super Built up area 1385(128.67 sq.m.),2,2,3+,3,South-East,Under Construction,flat,1385.0,,,0,0,0,0,0,0,0
indiabulls centrum park,2.36,sector 103,9182.0,2570.25,Super Built up area 2875(267.1 sq.m.)Carpet area: 2570 sq.ft. (238.76 sq.m.),4,6,3+,8,East,Relatively New,flat,2875.0,,2570.0,0,1,0,0,0,2,159
smart world gems,0.97,sector 89,8794.0,1103.02,Built Up area: 1103 (102.47 sq.m.),2,2,3+,2,East,New Property,flat,,1103.0,,0,0,0,0,0,0,49
ashiana mulberry,1.07,sohna road,6184.0,1730.27,Super Built up area 1730(160.72 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,7,North-East,Relatively New,flat,1730.0,1600.0,1300.0,0,0,0,0,0,0,167
lotus homz,0.6,sector 111,8450.0,710.06,Carpet area: 710 (65.96 sq.m.),2,2,3,9,East,New Property,flat,,,710.0,0,0,0,0,0,0,52
independent,0.89,sector 7,18658.0,477.0,Plot area 477(44.31 sq.m.),5,3,2,2,East,Old Property,house,,477.0,,0,0,0,0,0,0,8
ramprastha the edge towers,0.8,sector 37d,5797.0,1380.02,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2,North-East,Relatively New,flat,1380.0,1300.0,1200.0,0,0,0,0,0,0,78
hsiidc sidco aravali,0.9,manesar,3477.0,2588.44,Super Built up area 2588(240.43 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.),3,3,3,2,,Old Property,flat,2588.0,1900.0,,0,1,0,0,0,1,21
independent,0.65,sector 12,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6,2,3,1,,Undefined,house,,,1000.0,0,0,0,0,0,0,0
vatika city homes,1.0,sector 83,5747.0,1740.04,Super Built up area 1740(161.65 sq.m.),3,3,2,2,South-East,Relatively New,flat,1740.0,,,0,0,1,0,0,2,174
bhim nagar society,0.4,sector 6,2500.0,1600.0,Built Up area: 1600 (148.64 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),4,2,2,1,East,Undefined,house,,1600.0,800.0,0,0,0,0,0,0,0
rail vihar cghs,1.35,sector 56,10384.0,1300.08,Super Built up area 1300(120.77 sq.m.)Built Up area: 1275 sq.ft. (118.45 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,2,2,1,West,Old Property,flat,1300.0,1275.0,1250.0,0,0,0,0,1,0,159
experion the heartsong,0.87,sector 108,11845.0,734.49,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,2,South-West,Relatively New,flat,1283.0,978.23,734.43,0,1,0,0,0,2,123
ats triumph,4.45,sector 104,6846.0,6500.15,Carpet area: 6500 (603.87 sq.m.),4,5,3+,27,North,Relatively New,flat,,,6500.0,0,0,0,0,0,0,110
pareena coban residences,1.1,sector 99a,7096.0,1550.17,Super Built up area 1550(144 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,9,North-East,New Property,flat,1550.0,,1200.0,1,0,0,0,0,0,88
experion the heartsong,2.08,sector 108,9904.0,2100.16,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4,4,3+,3,East,Relatively New,flat,,2631.0,2100.0,0,1,0,0,0,0,126
smart world orchard,2.2,sector 61,14202.0,1549.08,Carpet area: 1549 (143.91 sq.m.),3,3,2,4,North,New Property,flat,,,1549.0,0,0,0,0,0,0,152
tulip violet,2.0,sector 69,9950.0,2010.05,Super Built up area 2010(186.74 sq.m.),4,4,2,0,West,Relatively New,flat,2010.0,,,0,0,0,0,0,0,95
m3m sierra 68,1.1,sector 68,8986.0,1224.13,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2,2,3,1,North-East,Relatively New,flat,1224.0,1150.0,830.0,0,0,0,0,0,2,127
tulip white,0.91,sector 69,6862.0,1326.14,Carpet area: 1326 (123.19 sq.m.),3,2,2,12,,Moderately Old,flat,,,1326.0,0,0,0,0,0,0,43
bptp pedestal,1.9,sector 70a,9500.0,2000.0,Carpet area: 1900 (176.52 sq.m.),4,3,3,2,East,New Property,flat,,,1900.0,0,0,1,0,0,0,133
signature global city 81,0.82,sector 81,8639.0,949.18,Built Up area: 955 (88.72 sq.m.)Carpet area: 565 sq.ft. (52.49 sq.m.),2,2,3,2,East,Undefined,flat,,955.0,565.0,0,0,0,0,0,0,53
tulip violet,1.75,sector 69,8883.0,1970.06,Super Built up area 1970(183.02 sq.m.),4,4,1,12,North-West,Relatively New,flat,1970.0,,,0,0,0,0,0,0,86
chd avenue,1.15,sector 71,6526.0,1762.18,Super Built up area 1762(163.7 sq.m.)Carpet area: 1339 sq.ft. (124.4 sq.m.),3,3,2,15,East,Moderately Old,flat,1762.0,,1339.0,0,1,0,0,0,2,66
dlf city plots phase 2,6.3,sector 25,35000.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2,East,Old Property,house,,1800.0,,0,1,1,0,0,0,89
m3m woodshire,1.65,sector 107,5960.0,2768.46,Super Built up area 2768(257.16 sq.m.),4,5,3+,12,North-West,Relatively New,flat,2768.0,,,0,1,0,0,0,0,21
emaar mgf emerald floors premier,2.7,sector 65,16363.0,1650.06,Carpet area: 1650 (153.29 sq.m.),3,3,3,5,North-West,Relatively New,flat,,,1650.0,0,1,1,0,0,2,108
suncity township,2.0,sector 54,30968.0,646.0,Plot area 60Built Up area: 60 sq.m.Carpet area: 59 sq.m.,9,9,3,11,North,Relatively New,house,,60.0,59.0,0,1,0,0,0,1,7
sidhartha ncr greens,0.96,sector 95,6201.0,1548.14,Carpet area: 1548 (143.81 sq.m.),3,3,3,8,,New Property,flat,,,1548.0,0,0,1,1,0,0,8
bestech park view sanskruti,1.6,sector 92,8020.0,1995.01,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,4,3+,10,North-West,Relatively New,flat,1995.0,1615.0,1476.0,0,1,0,0,1,2,174
smart world orchard,2.41,sector 61,14785.0,1630.03,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2,East,New Property,flat,,1630.0,1625.0,0,0,0,0,0,2,61
la vida by tata housing,3.0,sector 113,14285.0,2100.11,Super Built up area 2691(250 sq.m.)Built Up area: 2460 sq.ft. (228.54 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3,3,3+,3,East,Relatively New,flat,2691.0,2460.0,2100.0,0,1,0,0,0,0,167
shree vardhman victoria,1.75,sector 70,8974.0,1950.08,Built Up area: 1950 (181.16 sq.m.),3,5,0,0,,Undefined,flat,,1950.0,,0,0,0,0,0,0,47
anshul,0.85,sector 6,7727.0,1100.0,Carpet area: 1100 (102.19 sq.m.),2,2,0,4,North-East,Undefined,house,,,1100.0,0,0,0,0,0,0,0
bptp terra,1.6,sector 37d,7302.0,2191.18,Super Built up area 2191(203.55 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,3,3+,7,North,Relatively New,flat,2191.0,2000.0,1800.0,0,0,0,0,1,2,139
rof ananda,0.46,sector 95,6318.0,728.08,Carpet area: 728 (67.63 sq.m.),2,2,2,11,North-West,New Property,flat,,,728.0,1,0,0,0,0,0,82
independent,0.38,sector 105,76000.0,50.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1,,Undefined,house,,,50.0,0,0,0,0,0,0,0
bhim garh kheri,1.5,sector 3,7576.0,1980.0,Plot area 220(183.95 sq.m.),7,2,0,1,,Undefined,house,,1980.0,,0,0,0,0,0,0,0
signature global city 37d ph 2,1.1,sector 37d,8148.0,1350.02,Carpet area: 1350 (125.42 sq.m.),3,3,1,2,North,Under Construction,flat,,,1350.0,0,0,0,1,0,0,30
tulip violet,1.68,sector 69,10071.0,1668.16,Super Built up area 1668(154.96 sq.m.),3,3,2,0,West,Relatively New,flat,1668.0,,,0,0,0,0,0,0,157
proxima tower,0.6,sector 37c,4602.0,1303.78,Super Built up area 1304(121.15 sq.m.),2,2,3,5,,Under Construction,flat,1304.0,,,1,0,0,1,0,0,55
dlf new town heights,1.51,sector 90,6387.0,2364.18,Super Built up area 2364(219.62 sq.m.)Built Up area: 2362 sq.ft. (219.44 sq.m.)Carpet area: 2360 sq.ft. (219.25 sq.m.),4,4,3+,6,South,Relatively New,flat,2364.0,2362.0,2360.0,0,1,0,1,0,2,142
bestech park view residency,1.01,sector 2,7137.0,1415.16,Super Built up area 1415(131.46 sq.m.),2,2,3,0,East,Moderately Old,flat,1415.0,,,0,0,0,0,0,0,92
tulip monsella,6.02,sector 53,20816.0,2892.01,Built Up area: 2892 (268.68 sq.m.),3,3,3,29,,Under Construction,flat,,2892.0,,0,0,0,0,0,0,68
shri banke bihari society,1.35,sector 56,9642.0,1400.12,Super Built up area 1500(139.35 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,4,,Old Property,flat,1500.0,1450.0,1400.0,0,0,0,0,1,2,174
sobha city,3.35,sector 108,13266.0,2525.25,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19,,New Property,flat,2072.9,,,0,0,0,0,0,0,102
international city by sobha phase 1,6.0,sector 109,9634.0,6228.0,Plot area 692(578.6 sq.m.),4,5,3,2,North-East,Moderately Old,house,,6228.0,,0,0,0,0,0,0,76
