society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_type,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
puri the aravallis,3.9,sector 61,33209.0,1174.38,Carpet area: 1249.65 (116.1 sq.m.),3,4,3+,33.0,South,Under Construction,flat,,,1249.68879,0,1,0,0,0,0,158,391.46000000000004
ss the leaf,1.75,sector 85,7267.0,2408.15,Super Built up area 2408(223.71 sq.m.),3,4,3,8.0,North,Relatively New,flat,2408.0,,,0,1,0,0,0,0,49,802.7166666666667
godrej summit,1.3,sector 104,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),3,2,3+,16.0,,Relatively New,flat,1440.0,,,1,0,1,1,0,2,0,480.03999999999996
independent,5.5,sector 43,28424.0,1935.0,Plot area 215(179.77 sq.m.),1,1,0,1.0,South-West,Old Property,house,,1935.0,,0,0,0,0,1,0,12,1935.0
independent,5.0,sector 55,44444.0,1125.0,Plot area 125(104.52 sq.m.)Built Up area: 115 sq.yards (96.15 sq.m.)Carpet area: 100 sq.yards (83.61 sq.m.),2,9,3+,5.0,East,New Property,house,,115.0,100.0,0,0,0,0,1,2,44,562.5
independent,4.5,sector 28,13889.0,3240.0,Built Up area: 360 (33.45 sq.m.),4,4,0,4.0,,Undefined,house,,360.0,,0,0,0,0,0,0,0,810.0
s aradhya homes,1.9,sector 67a,8863.0,2143.74,Super Built up area 2200(204.39 sq.m.),4,4,3,3.0,,New Property,flat,2200.0,,,0,0,0,0,0,2,62,535.935
independent,6.75,sector 26,27778.0,2430.0,Plot area 270(225.75 sq.m.),3,3,3,2.0,North-East,Moderately Old,house,,2430.0,,0,0,0,0,0,0,27,810.0
krisumi waterfall residences,2.3,sector 36a,15551.0,1479.0,Built Up area: 1479 (137.4 sq.m.),2,2,2,23.0,,Undefined,flat,,1479.0,,0,0,0,0,0,0,58,739.5
ireo skyon,2.85,sector 60,13936.0,2045.06,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),3,4,3+,5.0,South,Relatively New,flat,2045.0,1640.0,1490.0,0,1,0,0,0,2,174,681.6866666666666
chd avenue,1.12,sector 71,6215.0,1802.09,Super Built up area 1802(167.41 sq.m.),3,4,3,0.0,South-East,Moderately Old,flat,1802.0,,,0,1,0,0,0,0,65,600.6966666666666
vatika signature villas,3.2,sector 82,14350.0,2230.0,Plot area 2160(200.67 sq.m.),3,4,3,1.0,,New Property,house,,2160.0,,1,1,1,1,0,0,66,743.3333333333334
ss,2.17,sector 85,7716.0,2812.34,Super Built up area 2812(261.24 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,4,3,7.0,North,Relatively New,flat,2812.0,2600.0,2400.0,1,1,0,1,0,0,49,703.085
ss the leaf,1.09,sector 85,6661.0,1636.39,Super Built up area 1640(152.36 sq.m.)Built Up area: 1475 sq.ft. (137.03 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),2,2,3,5.0,North-East,Relatively New,flat,1640.0,1475.0,1350.0,0,0,0,0,0,0,49,818.195
unitech espace,7.5,sector 50,34722.0,2160.0,Plot area 240(200.67 sq.m.)Built Up area: 241 sq.yards (201.51 sq.m.)Carpet area: 240 sq.yards (200.67 sq.m.),3,3,2,2.0,West,Moderately Old,house,,241.0,240.0,0,1,0,0,0,2,66,720.0
signature global solera,0.51,sector 107,7906.0,645.08,Carpet area: 645 (59.92 sq.m.),3,2,2,9.0,South,Relatively New,flat,,,645.0,0,0,0,0,1,0,15,215.02666666666667
experion the heartsong,0.98,sector 108,13343.0,734.47,Built Up area: 978.23 (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,12.0,South-East,Relatively New,flat,,978.223232,734.43,1,1,1,1,0,2,31,367.235
breez global heights,0.46,sohna road,4842.0,950.02,Super Built up area 950(88.26 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,2,4.0,North-East,Relatively New,flat,950.0,800.0,700.0,0,0,0,0,0,1,93,475.01
shree vardhman victoria,1.78,sector 70,9128.0,1950.04,Super Built up area 1950(181.16 sq.m.),3,3,3+,7.0,North-East,Relatively New,flat,1950.0,,,0,1,0,0,1,0,49,650.0133333333333
ireo skyon,3.6,sector 60,12815.0,2809.21,Super Built up area 2809(260.96 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4,5,3,24.0,North-East,Relatively New,flat,2809.0,,2400.0,0,1,0,0,0,2,49,702.3025
essel towers,2.75,sector 14,12500.0,2200.0,Built Up area: 2200 (204.39 sq.m.),4,5,3+,8.0,East,Old Property,flat,,2200.0,,1,1,0,0,0,1,128,550.0
