society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
woodstock floors,1.05,sector 50,10627.0,2,2,2,2.0,Moderately Old,flat,1098.0,0,0,0,0,0,0,53,"28.4178° N, 77.0628° E",28.4178,77.0628
ild grand,1.2,sector 37c,6593.0,3,3,3,7.0,Under Construction,flat,1647.0,0,0,0,0,0,0,24,"28.4515° N, 76.9882° E",28.4515,76.9882
indiabulls centrum park,1.33,sector 103,8580.0,3,3,3+,8.0,Relatively New,flat,1671.0,1,0,0,0,0,0,150,"28.4949° N, 76.9845° E",28.4949,76.9845
tulip violet,1.4,sector 69,8871.0,3,3,2,11.0,Relatively New,flat,1428.0,0,0,0,1,0,0,126,"28.3966° N, 77.0341° E",28.3966,77.0341
smart world orchard,1.55,sector 61,13478.0,2,2,1,3.0,Under Construction,flat,1041.0,1,0,0,0,0,0,43,"28.4050° N, 77.0963° E",28.405,77.0963
bestech park view grand spa,2.29,sector 81,8609.0,3,4,3+,10.0,Relatively New,flat,2315.0,1,1,0,0,0,1,174,"28.3867° N, 76.9485° E",28.3867,76.9485
ireo victory valley,3.65,sector 67,13528.0,3,4,3+,18.0,Relatively New,flat,2490.0,0,1,0,1,0,2,61,"28.3859° N, 77.0608° E",28.3859,77.0608
ss aaron ville,6.75,sector 49,15000.0,5,4,2,2.0,New Property,house,4500.0,0,0,0,0,1,0,49,"28.4121° N, 77.0480° E",28.4121,77.048
dlf new town heights,1.55,sector 90,6556.0,4,4,3+,1.0,Relatively New,flat,2139.0,0,1,0,1,0,0,81,"28.4085° N, 76.9369° E",28.4085,76.9369
independent,1.2,sector 105,10118.0,3,2,1,2.0,Old Property,house,1185.51,0,0,0,0,0,0,9,"28.4952° N, 77.0114° E",28.4952,77.0114
ramprastha the edge towers,0.75,sector 37d,5319.0,2,2,3,19.0,Moderately Old,flat,1410.0,0,0,0,0,0,0,63,"28.4478° N, 76.9703° E",28.4478,76.9703
independent,2.4,sector 23,12000.0,3,3,2,2.0,Moderately Old,house,2000.0,0,0,1,1,0,0,28,"28.5121° N, 77.0478° E",28.5121,77.0478
pivotal devaan,0.34,sector 84,5831.0,2,2,1,3.0,Relatively New,flat,533.0,0,0,1,0,0,0,75,"28.3979° N, 76.9736° E",28.3979,76.9736
experion the heartsong,1.3,sector 108,8344.0,3,3,3+,7.0,Relatively New,flat,1661.0,1,0,0,0,0,0,150,"28.5134° N, 76.9830° E",28.5134,76.983
