sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
90.0,2,2,2.0,0.0,0.0,1422.0,0,0,0,2.0,0.0,0.69
105.0,3,3,3.0,3.0,0.0,1540.0,0,0,0,0.0,2.0,1.29
84.0,2,2,2.0,3.0,0.0,1084.0,0,0,0,1.0,2.0,0.79
59.0,5,6,4.0,0.0,1.0,3240.0,0,0,0,2.0,2.0,12.0
109.0,4,3,3.0,3.0,0.0,2824.0,1,0,0,1.0,2.0,1.1
65.0,4,4,2.0,4.0,0.0,2081.0,0,0,0,1.0,2.0,2.0
33.0,4,3,2.0,3.0,1.0,8829.0,0,0,2,1.0,1.0,4.0
98.0,3,3,4.0,0.0,0.0,1710.0,0,0,2,2.0,0.0,1.1
6.0,3,3,3.0,3.0,0.0,1315.0,1,0,0,2.0,2.0,1.35
8.0,2,2,3.0,4.0,0.0,1148.0,0,0,0,2.0,0.0,1.1
45.0,3,3,3.0,3.0,0.0,1563.0,0,0,0,1.0,1.0,1.25
107.0,2,2,3.0,3.0,0.0,1000.0,0,0,0,1.0,1.0,0.5
55.0,3,4,2.0,2.0,0.0,2544.0,0,0,2,1.0,1.0,2.45
12.0,3,3,4.0,3.0,0.0,1750.0,1,0,2,0.0,2.0,1.55
13.0,3,4,3.0,3.0,0.0,2339.0,1,0,0,2.0,0.0,2.25
35.0,3,3,2.0,2.0,0.0,1700.0,1,0,0,2.0,0.0,2.25
79.0,4,4,4.0,1.0,0.0,1809.0,0,0,0,2.0,0.0,1.7
113.0,2,2,2.0,3.0,0.0,1043.0,0,0,0,2.0,1.0,0.65
15.0,7,3,0.0,0.0,1.0,300.0,0,0,0,1.0,2.0,1.2
54.0,8,6,4.0,0.0,1.0,2367.0,1,0,2,2.0,2.0,5.65
100.0,3,4,4.0,3.0,0.0,1747.0,1,0,0,2.0,1.0,1.25
18.0,2,3,2.0,3.0,0.0,2441.15,1,0,0,2.0,2.0,2.8
41.0,2,2,2.0,4.0,0.0,103.0,0,0,0,1.0,0.0,1.15
64.0,4,4,0.0,2.0,1.0,1500.0,0,0,0,1.0,1.0,2.8
7.0,2,2,3.0,1.0,0.0,1089.0,0,0,0,0.0,2.0,0.8
57.0,3,3,3.0,3.0,0.0,2030.0,0,0,0,1.0,0.0,2.35
36.0,3,3,0.0,2.0,1.0,210.0,0,0,0,1.0,1.0,1.5
103.0,3,3,2.0,4.0,0.0,1611.0,0,0,0,2.0,2.0,1.28
100.0,3,3,1.0,3.0,0.0,1550.0,0,0,0,0.0,0.0,1.5
6.0,2,2,3.0,3.0,0.0,1286.0,0,0,0,2.0,1.0,1.4
59.0,4,4,2.0,2.0,1.0,2160.0,1,0,0,1.0,1.0,7.0
113.0,2,2,4.0,1.0,0.0,1344.0,0,0,0,2.0,0.0,0.74
80.0,4,4,2.0,3.0,0.0,1819.0,0,0,2,0.0,2.0,1.78
107.0,3,2,2.0,3.0,0.0,1556.0,0,0,0,1.0,0.0,0.75
65.0,1,1,1.0,0.0,0.0,543.0,0,0,0,1.0,1.0,0.6
6.0,3,3,3.0,3.0,0.0,1315.0,0,0,2,0.0,2.0,1.49
27.0,1,1,2.0,0.0,0.0,722.0,0,0,0,2.0,2.0,0.56
41.0,5,6,4.0,3.0,1.0,4680.0,1,0,0,2.0,2.0,11.5
52.0,4,4,4.0,0.0,0.0,2712.0,1,0,0,1.0,2.0,6.2
41.0,3,3,3.0,1.0,0.0,1900.0,1,0,2,1.0,0.0,2.2
36.0,1,1,1.0,3.0,1.0,480.0,0,0,0,1.0,1.0,0.37
21.0,10,10,2.0,2.0,1.0,400.0,0,0,0,1.0,1.0,2.25
104.0,9,9,4.0,3.0,1.0,2610.0,0,0,0,1.0,2.0,3.5
99.0,3,4,2.0,3.0,0.0,1900.0,1,0,2,0.0,2.0,1.25
85.0,4,5,2.0,0.0,0.0,2629.0,1,0,0,1.0,2.0,4.0
81.0,2,2,1.0,3.0,0.0,1000.0,0,0,0,2.0,2.0,0.54
87.0,3,3,3.0,1.0,0.0,2018.09,0,1,0,2.0,0.0,2.7
92.0,4,6,1.0,3.0,1.0,558.0,0,0,0,1.0,2.0,1.6
95.0,4,4,4.0,3.0,1.0,3240.0,1,0,2,1.0,1.0,7.0
80.0,4,4,2.0,3.0,0.0,1819.0,0,0,0,2.0,1.0,1.68
16.0,4,4,4.0,3.0,0.0,2350.0,1,0,0,0.0,1.0,2.25
45.0,3,3,3.0,3.0,0.0,1595.0,0,0,0,1.0,1.0,1.27
96.0,4,4,4.0,0.0,0.0,2576.09,1,0,0,1.0,0.0,2.7
35.0,3,3,2.0,0.0,0.0,2983.0,1,0,0,1.0,2.0,6.0
113.0,1,1,1.0,1.0,0.0,474.042156,0,0,0,2.0,2.0,0.2
113.0,2,2,3.0,4.0,0.0,1184.0,0,0,0,2.0,0.0,1.01
94.0,2,2,2.0,0.0,0.0,1397.0,0,0,0,1.0,2.0,0.75
98.0,3,3,3.0,1.0,0.0,1849.0,1,0,0,2.0,1.0,1.5
91.0,3,4,4.0,1.0,0.0,1659.0,1,0,0,1.0,2.0,1.95
113.0,2,2,2.0,3.0,0.0,694.0,0,0,0,2.0,0.0,0.35
65.0,6,6,4.0,0.0,1.0,1530.0,0,0,2,1.0,1.0,3.4
100.0,2,2,0.0,3.0,0.0,1360.0,0,0,0,1.0,1.0,0.8
11.0,2,2,1.0,3.0,0.0,496.0,0,0,0,1.0,2.0,0.36
54.0,5,4,2.0,0.0,1.0,1836.0,0,1,2,2.0,2.0,4.25
58.0,2,4,2.0,0.0,1.0,945.0,0,1,2,1.0,2.0,0.96
32.0,5,5,4.0,0.0,1.0,9500.0,1,0,1,1.0,2.0,10.0
113.0,2,2,1.0,3.0,0.0,535.0,0,0,0,2.0,2.0,0.26
85.0,3,4,4.0,3.0,0.0,2140.0,1,0,2,0.0,0.0,3.21
6.0,2,2,3.0,3.0,0.0,1073.0,0,0,0,1.0,1.0,1.2
111.0,4,5,4.0,3.0,0.0,2150.0,1,0,0,1.0,1.0,1.38
101.0,2,2,4.0,3.0,0.0,1463.0,0,0,0,2.0,2.0,1.31
89.0,3,4,4.0,1.0,0.0,1600.0,1,0,2,2.0,0.0,2.1
75.0,4,4,4.0,3.0,1.0,3600.0,1,0,0,2.0,1.0,12.5
27.0,4,4,3.0,3.0,1.0,1557.0,0,1,2,1.0,1.0,2.9
66.0,5,6,4.0,0.0,0.0,5010.0,1,0,2,0.0,0.0,5.5
75.0,3,3,3.0,3.0,0.0,3043.0,1,0,0,2.0,0.0,5.9
9.0,3,3,3.0,3.0,1.0,1050.0,0,0,0,1.0,1.0,0.43
16.0,2,2,3.0,3.0,0.0,1250.0,0,0,2,2.0,2.0,1.15
97.0,3,3,3.0,3.0,0.0,1387.0,1,1,2,0.0,1.0,1.4
52.0,4,5,3.0,0.0,0.0,5000.0,1,0,1,2.0,2.0,8.44
100.0,3,3,3.0,3.0,0.0,1715.0,1,0,2,1.0,0.0,1.3
32.0,5,4,3.0,2.0,1.0,1350.0,0,0,0,1.0,2.0,4.31
94.0,2,2,2.0,0.0,0.0,985.0,0,0,0,2.0,0.0,0.65
2.0,4,3,3.0,1.0,0.0,3111.0,1,0,0,1.0,2.0,1.65
49.0,3,3,1.0,2.0,1.0,57.0,0,0,0,1.0,1.0,0.6
31.0,4,4,3.0,2.0,1.0,1070.0,0,0,0,1.0,2.0,3.25
78.0,3,3,2.0,1.0,0.0,1551.0,0,1,2,0.0,2.0,1.8
9.0,3,2,1.0,3.0,0.0,1056.0,0,0,2,1.0,1.0,0.45
109.0,2,2,3.0,4.0,0.0,661.0,0,0,0,1.0,1.0,0.4
94.0,2,2,2.0,3.0,0.0,1131.0,0,0,0,1.0,2.0,1.0
105.0,4,4,4.0,0.0,0.0,2005.0,0,0,0,1.0,2.0,1.8
29.0,2,2,2.0,4.0,0.0,1249.0,0,0,0,2.0,0.0,1.75
96.0,4,4,4.0,1.0,0.0,2179.0,1,0,1,0.0,1.0,2.85
75.0,2,2,3.0,1.0,0.0,1456.0,0,0,0,2.0,0.0,1.8
21.0,6,6,0.0,2.0,1.0,192.0,0,0,0,1.0,2.0,0.62
41.0,3,2,4.0,1.0,0.0,1730.0,0,0,0,1.0,2.0,1.55
86.0,5,8,3.0,3.0,1.0,9000.0,1,1,1,2.0,2.0,17.0
97.0,3,3,3.0,3.0,0.0,1549.0,1,0,2,2.0,2.0,1.75
113.0,2,2,3.0,4.0,0.0,561.0,0,0,0,1.0,2.0,0.4
11.0,2,2,2.0,3.0,0.0,543.0,0,0,0,1.0,2.0,0.28
78.0,2,2,2.0,1.0,0.0,1296.0,0,0,0,2.0,1.0,1.3
46.0,3,3,3.0,3.0,0.0,1639.0,0,0,0,2.0,2.0,1.45
